UID,Name,Position,ShT/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
13158264,Patson Daka,"AM (RL), ST (C)",1.58,16,15,13,12,13,17,13,13,5,13,13,14,13,13,16,11,9,13,11,14,12,15,6,8,10,16,14,7,9,11,6,8,12,9,8,13,1,3,1,1,2,2,1,3,2,3,1,14,12,6,5,11,6,13,12,7,15,- -  -,
29175561,Sam Dalby,"AM (C), ST (C)",1.31,11,9,13,14,10,11,14,12,3,10,11,13,8,10,10,8,4,9,4,13,10,10,2,4,8,12,11,6,10,6,2,3,10,8,3,11,4,3,1,3,3,2,3,1,1,1,3,10,11,3,2,8,4,10,12,7,12,- -  -,Loa
28029910,Sammy Ameobi,"M (L), AM (RLC)",1.51,13,13,11,13,13,13,13,10,5,12,9,12,9,12,12,15,7,15,7,12,14,9,9,13,13,11,14,9,8,12,4,4,12,11,4,15,2,1,1,1,1,3,1,2,3,1,3,8,12,4,4,9,8,15,13,16,15,- -  -,Wnt
29163836,Ephron Mason-Clark,"M (R), AM (RL), ST (C)",1.82,14,12,9,8,11,14,11,9,11,8,8,9,8,8,1,12,5,9,5,4,9,11,4,9,12,9,10,7,6,6,2,3,8,8,4,10,2,3,3,2,3,4,2,1,1,3,2,12,11,8,5,8,7,11,13,9,12,- -  -,Loa
85117459,Maxwel Cornet,"D/WB/M (L), AM (RL)",0.58,15,12,12,10,15,15,13,12,8,12,13,12,10,10,14,12,6,13,10,13,11,14,12,11,12,14,12,11,11,10,10,11,12,10,11,12,2,1,1,1,3,3,3,2,3,4,3,13,13,6,9,13,7,13,14,18,14,- -  -,Wnt
29174695,Danny Amos,D/WB (L),0.05,12,10,11,7,15,14,13,8,10,9,11,8,10,9,11,9,9,10,11,12,10,13,9,10,11,8,10,8,9,7,11,9,9,7,11,9,1,2,2,3,1,2,2,1,3,3,3,11,8,5,3,12,10,12,12,7,11,- -  -,Wnt
78095389,Facundo Pellistri,"M/AM (R), ST (C)",0.71,17,14,10,7,11,14,11,6,14,10,11,10,10,9,14,14,5,14,7,13,10,15,8,11,14,11,14,8,4,7,3,5,11,10,7,15,1,1,2,3,3,2,1,2,3,4,2,14,12,2,6,12,11,10,11,12,11,- -  -,Loa
72056133,Daryl Dike,ST (C),2.13,14,11,12,13,13,14,13,17,14,11,12,12,9,11,15,11,8,13,7,12,9,12,5,7,10,14,11,8,13,12,7,7,11,12,7,11,1,1,1,3,3,3,1,2,4,4,3,15,10,3,10,12,9,16,14,7,15,- -  -,
29087687,Dwight Gayle,"AM (C), ST (C)",1.59,12,13,11,9,10,11,12,10,12,16,9,13,12,13,13,11,8,14,5,11,11,12,10,12,10,14,12,14,12,13,11,3,11,13,4,13,3,2,3,1,1,1,2,1,2,2,1,13,13,3,13,13,11,10,8,6,13,- -  -,Unh
29218320,Tyler Williams,D (RC),0.17,9,8,8,11,14,11,13,7,11,11,9,8,11,14,8,5,12,7,12,6,2,8,3,7,3,3,8,1,13,4,6,8,6,1,10,7,1,2,2,1,3,3,2,4,4,3,1,12,11,5,12,12,9,10,11,11,12,- -  -,
29000734,Joe Jacobson,D (LC),0.07,8,9,9,10,14,9,8,8,10,10,12,10,11,11,12,6,17,13,13,15,13,14,19,16,8,8,11,16,12,11,9,10,12,19,11,15,2,3,1,1,2,3,2,1,1,3,1,7,10,7,11,10,4,7,9,8,10,- -  -,
28108038,Tariq Uwakwe,"D/WB (L), M/AM (RLC)",0.11,12,8,11,10,13,13,12,8,6,10,7,10,8,9,14,13,9,9,9,9,10,9,10,10,12,9,9,13,6,12,5,6,12,8,6,12,3,2,4,1,1,1,3,1,2,3,1,14,9,8,7,10,14,11,11,18,20,- -  -,
95037869,Isaac Hutchinson,M/AM (LC),0.37,12,11,10,10,10,12,11,9,6,10,6,8,10,10,13,12,8,13,9,12,11,13,9,10,12,10,12,13,5,10,4,7,11,9,7,12,3,3,1,3,2,1,1,1,3,3,1,9,7,11,6,7,8,13,12,7,14,- -  -,
29221678,Sam Sanders,D (C),0.15,12,11,11,12,12,11,11,12,9,10,11,10,10,9,10,6,12,7,8,9,7,12,5,8,11,7,9,4,9,4,4,9,9,4,10,10,3,3,1,3,1,2,2,1,1,3,3,10,10,5,4,10,4,10,11,15,15,- -  -,
28058626,Jamar Loza,AM (RL),0.32,13,13,8,9,12,13,9,9,15,8,10,7,6,7,10,8,9,10,7,9,9,6,2,8,11,10,9,6,6,8,4,7,10,9,7,11,2,1,2,2,1,3,4,1,1,2,3,11,7,9,10,6,4,10,6,11,4,- -  -,Lst
29139895,Ryan Leak,D (C),0.03,9,9,11,13,11,10,11,13,12,12,12,11,11,11,11,6,10,8,11,12,7,12,5,6,5,8,10,6,12,5,10,12,11,7,12,9,2,3,2,1,1,3,1,2,3,3,3,10,12,5,8,11,9,12,13,9,12,- -  -,
28086658,Paul Lewis,M/AM (C),0.19,10,10,10,10,13,10,12,10,12,10,12,12,10,8,12,12,10,12,10,10,13,10,10,10,10,13,10,10,10,13,8,10,13,9,10,10,2,3,1,1,3,2,3,3,3,2,2,7,13,3,10,10,8,10,12,11,12,- -  -,
5112501,Jordan Bowery,"AM (RL), ST (C)",1.04,13,9,12,12,10,12,13,12,9,9,8,12,11,8,12,11,5,10,6,15,8,15,4,7,11,10,11,6,8,8,7,5,11,11,6,11,3,3,1,1,2,3,3,1,1,3,2,9,10,8,5,14,5,13,8,10,8,- -  -,
28116490,Jubril Okedina,D (RC),0.11,13,11,12,12,15,13,13,13,6,10,11,8,9,8,12,5,12,10,10,11,6,13,7,12,11,6,10,3,13,5,3,10,11,5,12,10,1,4,1,3,1,2,2,3,2,1,1,13,8,2,9,2,5,11,12,12,20,- -  -,Wnt
29193677,Tommy Willard,"M (RL), AM (RLC), ST (C)",0.61,14,12,6,6,15,9,4,3,5,7,1,7,5,8,5,12,11,12,6,7,5,8,3,6,7,8,14,3,7,6,6,6,8,1,6,13,2,2,3,3,3,3,3,3,3,2,1,11,8,8,5,7,6,11,8,9,19,- -  -,
37048153,Donny van de Beek,"DM, M/AM (C)",0.15,11,14,13,13,15,12,15,10,10,13,12,14,14,12,15,13,13,15,9,16,15,17,13,13,13,14,15,13,11,13,8,10,15,11,11,15,2,2,1,3,3,2,3,3,2,3,2,14,13,4,6,11,3,15,15,15,11,- -  -,Set
2000066158,Antony Papadopoulos,"DM, M (C)",0.30,14,12,3,5,12,14,6,7,10,6,7,9,5,14,16,5,12,8,9,8,11,11,6,6,3,7,7,2,1,7,1,9,7,3,9,11,2,1,2,3,2,1,3,1,3,1,3,9,13,7,14,5,11,12,10,12,18,- -  -,
5113246,David McGoldrick,"M/AM (C), ST (C)",1.20,7,11,14,12,12,9,8,12,6,12,11,11,13,13,14,13,10,13,11,13,13,15,8,10,12,12,14,9,11,13,6,9,12,12,8,14,2,2,1,2,2,2,3,3,3,3,3,13,13,6,5,10,15,14,13,12,17,- -  -,
61069535,Jamie Robson,D/WB/M (L),0.04,13,12,11,7,11,13,13,11,7,11,11,10,12,11,8,9,9,13,10,12,10,13,11,13,11,8,11,11,9,8,12,8,9,8,11,10,4,3,3,3,3,3,3,1,1,3,3,10,11,5,6,10,7,11,12,12,12,- -  -,Wnt
61014825,Kenny McLean,"DM, M/AM (C)",0.22,12,12,11,12,13,12,13,12,9,13,13,13,11,12,14,13,13,15,13,16,14,14,12,12,11,11,13,13,12,13,9,7,14,14,10,14,2,2,3,2,3,3,2,2,3,3,1,15,11,3,4,14,9,11,11,14,12,- -  -,
29160427,Callum Lang,"AM (RL), ST (C)",1.25,13,11,13,10,9,14,12,11,14,11,11,13,11,10,15,14,9,13,7,10,8,15,5,9,13,13,12,8,12,9,2,6,11,7,9,12,3,2,2,3,2,3,3,1,1,1,2,12,12,6,9,13,11,12,10,14,11,- -  -,Wnt
2000116335,Josh O'Brien,D (C),0.10,12,11,11,13,13,11,11,11,12,10,11,12,9,10,14,6,9,8,12,13,9,13,4,6,8,6,11,4,12,6,7,11,10,3,11,10,3,1,2,3,1,1,3,2,2,3,3,16,11,4,7,10,5,15,13,12,14,- -  -,Loa
29174573,Tom Knowles,"M/AM (RLC), ST (C)",0.90,12,10,9,11,12,12,14,8,11,10,10,8,10,9,14,9,8,9,7,9,8,12,6,9,10,10,8,8,7,9,12,5,8,6,9,9,1,1,2,3,4,3,3,2,2,2,4,13,8,2,11,12,3,13,8,10,10,- -  -,
29120252,Josh Umerah,ST (C),1.27,13,12,11,12,10,11,14,14,7,10,10,7,10,8,2,8,7,10,7,11,8,12,4,4,10,13,11,5,11,7,5,4,10,10,6,10,1,2,3,2,3,2,1,3,3,1,2,10,10,7,6,8,10,12,11,6,12,- -  -,Req
29191398,Sam Bennett,ST (C),0.79,13,8,7,8,8,9,5,6,8,14,2,9,8,8,12,9,14,11,8,7,9,7,4,7,6,8,8,6,9,9,3,6,7,3,2,8,1,3,3,3,2,3,3,3,3,2,2,11,11,2,12,15,11,10,11,11,17,- -  -,
29156206,David Ajiboye,M/AM (RL),1.69,16,15,13,6,13,14,12,7,8,7,7,7,8,8,12,15,4,13,3,12,9,12,5,8,14,11,12,5,4,12,1,1,8,5,4,10,1,2,1,3,2,2,3,3,1,3,1,10,12,6,7,9,7,11,12,8,13,- -  -,Wnt
2000208689,Matthew Hoffin,D/WB (R),0.33,10,11,10,15,17,10,9,7,5,7,9,9,8,10,5,6,4,6,6,5,6,9,7,11,9,4,12,3,7,7,4,10,9,4,10,10,4,2,3,3,2,1,3,1,3,1,2,10,11,8,11,4,13,10,11,9,11,- -  -,Yth
29217699,Carl Johnston,"M (C), AM (LC)",0.60,11,9,7,5,10,11,12,6,8,7,8,8,8,13,17,11,6,10,7,9,8,11,5,8,9,8,10,5,5,3,5,5,8,4,6,12,2,3,3,3,1,3,3,1,2,3,1,10,20,3,8,3,11,11,10,12,14,- -  -,Loa
2000228862,Zak Fraser-Grante,"DM, M/AM (C)",0.60,11,12,8,14,13,12,7,6,5,4,5,7,1,9,12,9,10,7,7,6,7,11,4,5,7,9,8,4,2,6,3,2,9,3,4,9,3,2,1,4,1,2,1,1,3,3,1,12,10,8,5,2,5,10,11,10,10,- -  -,
28013681,Korey Smith,"DM, M/AM (C)",0.34,14,11,14,9,12,9,11,8,13,12,14,12,10,13,12,7,16,12,11,10,12,13,6,10,11,8,11,6,8,10,7,10,12,7,13,11,3,3,2,1,1,3,2,2,3,1,1,13,14,1,10,12,10,14,11,16,16,- -  -,Lst
28016057,Ashley Barnes,"AM (LC), ST (C)",2.87,11,12,11,15,16,11,12,15,18,13,18,12,14,12,16,7,10,13,11,18,9,17,6,9,8,13,13,7,13,11,5,8,13,13,10,13,1,1,3,3,1,3,2,3,1,2,2,9,14,12,17,15,7,12,7,15,5,- -  -,Wnt
28109701,Ben Woodburn,"M (C), AM (RLC), ST (C)",0.49,13,14,13,9,11,12,10,11,9,12,8,14,12,10,15,14,7,14,9,12,13,10,8,11,13,11,14,8,9,8,5,8,14,11,8,14,2,1,1,3,2,2,1,1,3,3,2,15,13,7,7,12,13,14,12,13,15,- -  -,
29225860,Gassan Ahadme,ST (C),1.00,11,12,11,15,11,11,12,12,13,11,12,11,10,10,11,12,7,10,6,13,9,12,5,8,10,12,12,6,12,8,3,3,9,10,5,11,1,1,3,2,3,1,3,4,2,1,2,11,10,6,6,8,5,11,10,6,10,- -  -,Wnt
28106531,Marcus Forss,"AM (RL), ST (C)",2.28,13,12,12,11,13,13,11,11,11,12,9,13,11,12,14,13,6,13,7,12,11,11,7,11,13,13,12,8,12,11,7,7,12,14,6,13,1,1,2,2,3,3,2,1,3,3,3,13,13,5,6,13,5,13,12,14,15,- -  -,Wnt
29226251,Sam Bell,"AM (C), ST (C)",-,13,12,11,7,5,11,9,8,8,11,6,9,10,10,11,7,8,10,8,8,11,7,8,9,12,15,9,7,9,8,4,10,10,8,9,9,1,2,1,2,2,4,3,2,3,2,2,11,11,8,11,8,12,10,12,12,10,- -  -,Loa
28115831,James Garner,"DM, M (C)",0.26,11,12,13,13,15,12,16,11,10,14,11,14,14,13,17,5,11,12,13,16,14,14,12,13,6,11,14,12,8,13,2,8,15,10,12,14,3,3,1,1,2,3,3,1,3,2,1,13,14,2,7,13,4,16,15,14,12,- -  -,Wnt
5217388,James McArthur,"DM, M (C)",0.21,10,9,10,9,10,9,12,11,13,15,16,12,14,14,16,4,14,11,14,16,12,17,9,11,12,10,14,11,10,7,6,13,12,8,13,14,1,1,1,1,1,2,1,4,1,1,1,13,13,2,9,13,16,17,13,13,14,- -  -,
2000010557,Kurtis Forsythe,D/WB/M (R),1.03,14,14,7,11,13,13,7,6,5,9,8,8,6,11,18,5,2,7,4,7,7,8,7,11,6,2,6,6,7,6,4,8,5,1,11,5,3,3,1,4,3,2,1,3,2,3,1,12,18,1,13,8,9,13,11,11,14,- -  -,
29180837,Ryan Cooney,"D/WB (RL), M (R)",0.12,12,12,10,8,8,13,13,12,16,10,12,7,9,9,9,8,11,7,9,12,9,10,5,9,8,5,8,7,7,9,8,10,10,9,11,9,3,2,3,1,3,2,1,3,3,3,3,9,7,6,7,17,5,10,9,16,19,- -  -,Wnt
2000080965,Harry Vaughan,M/AM (C),0.30,10,12,9,4,12,9,12,5,4,10,9,12,10,10,14,10,7,12,11,11,10,14,7,9,13,12,12,9,5,8,3,11,13,7,4,14,1,3,1,2,1,3,1,2,4,3,3,12,12,2,5,10,6,12,12,10,15,- -  -,Loa
2000017562,Lewis Whitham,"AM (RL), ST (C)",1.57,14,12,7,8,10,9,4,4,8,8,7,8,5,3,18,8,1,10,5,6,6,8,6,8,12,7,12,5,8,6,5,4,7,5,1,8,2,1,1,2,2,3,1,4,1,3,2,11,16,8,5,15,6,10,12,11,11,- -  -,
28044977,Omar Bogle,ST (C),1.04,13,11,13,13,15,12,12,15,14,11,12,9,9,9,15,11,8,11,6,12,7,12,4,11,9,12,10,11,12,12,6,6,8,13,6,9,3,2,3,3,3,2,1,1,2,3,1,16,9,14,12,10,8,9,10,9,7,- -  -,
28100148,Callum Connolly,"D (RC), DM, M (C)",0.38,11,11,11,12,13,11,14,13,15,11,12,11,11,11,14,6,13,9,12,13,10,14,5,9,8,11,11,12,13,13,9,13,11,6,14,11,1,1,2,2,2,1,3,1,1,1,3,13,13,10,13,13,6,14,9,18,14,- -  -,
29187154,Kyran Lofthouse,D/WB/M/AM (R),0.27,14,12,10,4,11,13,9,9,9,8,6,7,7,7,9,8,4,8,8,8,7,11,3,12,10,7,8,3,6,7,6,8,9,2,9,10,2,1,1,2,2,2,2,2,2,3,1,12,11,6,4,9,11,9,9,15,11,- -  -,
5104411,Ian Henderson,"AM (LC), ST (C)",0.77,7,8,10,8,19,6,10,8,13,14,11,12,10,11,15,12,13,15,6,10,13,14,7,10,9,12,13,8,9,11,2,5,11,12,6,13,1,3,3,2,1,1,2,1,3,1,1,9,11,11,10,8,7,19,10,12,6,- -  -,
29158527,Sam Nombe,"AM (RL), ST (C)",1.01,15,12,12,10,10,14,13,14,9,10,8,9,7,9,11,10,8,11,7,12,9,14,4,8,12,13,9,6,9,10,5,4,8,9,6,10,2,2,2,2,3,2,1,3,2,1,2,12,10,6,5,8,10,11,13,11,10,- -  -,Unh
29221753,L'Varn Brandy,AM (R),0.58,10,12,6,8,9,10,14,4,9,11,4,9,5,8,15,10,5,11,5,8,10,12,6,11,12,9,14,6,3,4,6,6,9,3,6,11,2,1,3,3,1,3,2,1,1,3,3,10,9,3,7,10,9,11,10,11,12,- -  -,
2000052146,Mitch Picksley,"M (R), AM (RLC)",0.64,8,10,5,12,14,7,6,3,5,7,7,9,5,12,10,12,8,8,4,14,9,9,7,8,11,8,8,6,6,7,5,6,9,3,8,10,1,2,3,2,3,1,2,1,3,1,1,9,6,8,7,5,14,10,10,20,12,- -  -,
29190272,Lewis Wing,"DM, M (C)",0.19,11,13,13,12,14,10,12,12,11,12,10,11,11,13,13,11,9,12,12,14,10,15,12,10,11,10,12,13,7,15,6,9,12,12,11,12,4,2,1,2,1,2,1,3,4,1,2,12,11,6,6,12,8,17,13,10,13,- -  -,Wnt
2000009606,Junior Tchamadeu,D/WB (R),0.33,13,11,8,12,12,13,11,9,6,9,9,10,10,9,15,6,5,9,9,11,9,12,5,10,11,8,10,3,8,8,9,9,9,5,9,10,3,2,1,2,3,3,4,3,2,3,3,11,9,2,5,6,4,9,12,13,16,- -  -,
29159548,Jack Sparkes,D/WB/M/AM (L),0.09,10,12,10,8,8,9,12,8,9,11,6,12,12,10,8,8,5,11,10,10,10,13,13,15,11,7,11,13,7,8,4,8,8,7,11,11,2,1,2,2,1,2,3,3,2,3,3,8,10,11,8,10,7,9,11,15,12,- -  -,
43318440,Bambo Diaby,D (C),0.12,13,12,13,14,12,14,13,16,13,12,14,9,12,9,14,7,12,7,13,14,9,12,6,6,7,7,9,7,14,8,11,12,10,9,13,9,3,2,3,2,2,1,3,3,3,2,3,12,12,12,10,10,10,8,14,10,8,- -  -,Set
28017217,Ángelo Balanta,"M (C), AM (LC), ST (C)",0.73,8,9,10,8,11,8,8,7,2,10,7,6,7,8,4,15,3,12,6,7,10,6,11,11,11,12,15,9,10,10,6,4,11,9,4,14,2,1,3,2,1,3,3,3,1,3,2,10,7,8,5,13,15,6,10,8,6,- -  -,
31042062,Abraham Odoh,"M (RL), AM (RLC)",0.28,14,13,13,8,9,13,10,6,6,7,5,7,7,7,14,14,4,8,5,10,6,11,8,7,13,7,9,4,4,7,2,6,9,4,7,13,2,1,4,1,2,2,1,3,1,3,2,10,7,7,2,8,5,11,12,11,19,- -  -,
28122948,TQ Addy,"AM (RLC), ST (C)",1.24,12,10,8,7,12,12,5,4,11,8,7,6,6,9,18,10,4,10,5,6,6,7,5,8,10,11,8,5,7,7,3,5,7,3,3,10,1,2,3,3,2,3,2,2,2,1,3,10,9,6,13,2,6,14,10,8,18,- -  -,
29072223,Mal Benning,D/WB/M (L),0.14,12,12,10,8,15,12,14,9,10,12,9,10,9,9,14,11,9,11,10,12,9,14,10,11,11,9,12,10,6,11,8,10,10,9,10,11,1,3,1,3,1,1,4,2,1,2,3,13,12,4,6,10,5,15,11,13,15,- -  -,
2000008118,Matthew Lusty,ST (C),1.80,12,13,6,5,10,13,14,5,7,8,7,9,7,9,15,6,7,14,6,6,7,8,6,5,11,11,10,6,13,4,1,4,8,6,2,8,2,1,2,2,1,2,1,3,1,3,3,8,8,6,15,2,13,12,10,8,15,- -  -,
28050130,Alejandro Rodríguez Gorrín,"DM, M (C)",0.46,11,11,12,8,14,11,14,12,12,12,9,15,11,13,15,7,11,12,12,13,12,11,8,8,7,8,12,9,5,10,8,12,11,8,13,11,2,2,3,3,2,2,1,2,1,1,3,12,15,7,14,14,6,13,12,10,15,- -  -,Set
27129125,Frank Onyeka,"DM, M (C)",0.33,14,13,13,11,14,14,15,13,15,13,15,13,13,12,17,11,7,14,14,15,12,17,6,9,12,11,12,7,11,10,6,11,13,8,13,12,3,1,1,1,3,1,3,3,2,2,1,13,13,8,8,12,3,13,12,17,8,- -  -,
90037889,Conor Washington,"AM (RL), ST (C)",1.09,14,12,14,10,14,13,13,12,12,12,12,11,9,12,14,11,7,13,6,13,11,16,7,9,10,12,11,8,10,11,6,5,10,13,6,11,2,3,1,1,4,1,3,1,3,2,3,12,11,10,9,8,7,13,10,11,14,- -  -,
20046423,Brenden Aaronson,"M (C), AM (RC)",0.42,16,15,13,9,13,15,14,10,12,12,13,12,11,12,11,11,7,11,8,13,13,15,11,12,14,11,13,8,8,11,6,8,14,10,9,13,2,1,2,3,3,1,3,2,2,2,2,12,12,3,5,7,5,13,10,11,12,- -  -,
28116056,Lewis Gordon,D/WB (L),0.24,14,12,9,8,12,14,12,9,11,11,12,10,12,9,16,11,7,9,12,11,11,13,7,11,10,6,10,5,9,10,10,11,11,6,11,11,3,1,2,2,1,1,2,3,1,1,2,12,12,4,5,10,4,11,13,9,11,- -  -,
28108498,Luke Bolton,"WB/M/AM (R), ST (C)",0.43,15,12,7,8,12,14,12,12,9,8,12,7,8,9,11,12,6,7,8,14,8,14,8,7,10,8,10,8,7,8,7,8,9,9,9,11,1,3,2,3,1,2,1,1,3,3,3,13,10,7,6,7,8,11,13,16,8,- -  -,Wnt
2000024114,Ky-mani Hunter,D (RC),0.09,12,11,9,9,13,12,11,11,8,7,5,9,5,7,5,5,4,8,7,8,4,9,5,10,3,6,9,4,8,6,8,8,7,5,7,8,3,3,3,1,2,1,1,3,1,3,1,6,8,4,5,8,5,15,15,7,14,- -  -,Inj
28109691,Liam Coyle,"WB (R), DM, M (C)",0.06,13,11,13,6,11,12,11,11,15,13,15,14,13,13,17,8,14,12,13,13,9,13,4,9,11,10,12,4,10,9,4,11,11,8,14,11,2,3,2,3,4,1,2,1,4,3,1,16,10,8,11,10,15,13,10,10,11,- -  -,Wnt
28049316,Ryan Fredericks,D/WB/M/AM (R),0.08,18,15,10,8,12,17,13,9,14,12,10,11,12,12,12,14,10,14,10,12,8,14,5,14,13,7,9,6,10,7,12,11,12,6,13,11,1,1,3,3,1,2,3,3,1,3,1,10,14,11,11,11,8,11,11,16,13,- -  -,
52011000,Stephen Dooley,"M (RC), AM (C)",0.34,12,11,11,8,10,12,14,10,6,9,9,11,9,8,15,13,3,10,8,11,12,13,8,10,9,7,10,7,8,8,3,6,12,6,8,12,2,2,1,3,4,3,4,2,2,3,1,12,13,3,6,10,11,17,14,16,13,- -  -,Wnt
29126104,Harry Taylor,"D (R), DM, M (C)",0.12,9,8,12,13,12,10,12,12,11,9,13,8,11,10,13,3,10,5,11,15,7,14,2,6,7,3,8,4,10,3,3,11,9,4,14,10,3,2,1,3,2,3,4,1,2,2,2,10,14,8,10,12,4,8,14,17,15,- -  -,
29164970,Brendan Wiredu,"DM, M/AM (C)",1.68,13,11,13,14,16,13,15,13,13,13,14,11,10,8,17,12,10,12,11,13,8,15,4,7,12,7,10,7,10,8,6,10,10,6,14,10,2,3,3,1,1,3,1,4,2,3,1,11,13,5,13,13,3,12,7,14,13,- -  -,
29141961,Connor Stevens,D (C),0.17,11,8,12,15,17,11,11,14,14,8,10,9,11,6,4,6,7,8,13,8,8,10,2,3,6,5,7,4,13,4,4,8,6,4,9,5,1,1,1,2,1,3,3,2,2,1,3,10,11,3,5,8,4,10,11,6,16,- -  -,
89052079,Shilow Tracey,"M/AM (RL), ST (C)",0.57,13,13,11,8,14,13,11,13,8,9,12,7,8,7,14,10,7,10,7,12,7,14,8,9,11,10,9,8,8,8,10,4,12,9,7,11,3,1,1,1,4,3,1,3,3,1,1,12,11,6,11,6,10,14,13,15,13,- -  -,
28101021,Sam Field,"DM, M (C)",0.32,11,11,12,11,11,12,12,10,13,14,13,15,12,10,12,10,11,7,13,15,13,14,9,11,10,10,13,11,12,10,6,10,14,11,13,14,1,1,3,3,2,3,3,4,2,3,1,12,14,2,14,12,15,16,14,14,12,- -  -,
28093560,Dion Kelly-Evans,D/WB (RL),0.15,14,10,9,12,10,14,10,9,17,9,13,8,9,8,14,6,11,9,10,10,7,13,8,9,8,6,7,7,5,8,3,9,10,8,11,10,3,3,3,3,3,3,1,1,2,2,4,11,9,3,12,9,3,8,8,11,10,- -  -,
85122274,Olivier Ntcham,"DM, M/AM (C)",0.66,10,13,15,11,9,12,9,13,9,13,8,15,9,13,10,14,7,12,9,11,14,10,10,11,14,12,13,10,7,14,5,7,13,13,9,14,3,4,3,3,3,3,3,3,1,2,3,15,8,6,5,9,5,10,12,11,14,- -  -,Set
18072298,Samuel Bastien,"DM, M (C)",0.51,14,14,13,10,14,14,13,12,14,13,12,14,12,12,11,11,11,12,12,13,13,11,12,12,13,10,14,10,10,12,8,12,14,10,12,14,2,2,3,1,2,2,1,3,4,2,2,11,13,3,6,12,4,13,12,15,13,- -  -,Wnt
67063933,Salomón Rondón,ST (C),2.22,11,12,16,13,15,12,14,18,14,13,14,13,13,13,12,11,11,12,7,14,10,14,5,10,10,14,11,11,16,10,5,6,10,11,6,13,1,4,1,2,2,2,3,1,1,1,2,16,14,9,11,12,5,14,12,12,10,- -  -,
6601602,Moussa Djénépo,"D/WB (L), M/AM (RL)",0.53,15,14,14,8,8,16,14,11,10,8,12,10,11,9,14,12,7,11,5,12,8,13,9,10,15,7,12,8,7,8,6,8,12,7,4,13,3,1,3,3,2,1,1,4,1,3,1,12,13,7,6,10,5,12,9,11,9,- -  -,Inj
61056254,Conor McGrandles,"DM, M (C)",0.20,11,11,12,11,14,11,14,12,11,11,10,12,11,11,12,6,13,11,11,14,12,13,8,11,12,9,11,7,10,8,8,10,12,10,11,10,2,1,1,2,3,2,4,2,3,3,1,13,13,1,5,11,13,12,15,9,15,- -  -,
29193537,Callum Hulme,"WB (R), DM, M (RC), AM (C)",0.59,11,14,12,4,11,11,7,8,16,8,8,11,8,7,15,12,13,10,1,9,11,9,12,7,11,11,12,13,5,13,2,5,12,10,4,11,2,2,3,1,3,1,3,4,3,2,1,15,11,9,12,8,4,12,11,13,7,- -  -,
29162833,Ody Alfa,"M (R), AM (RL), ST (C)",1.42,13,16,10,10,9,12,7,10,11,7,6,10,10,13,7,12,1,12,6,9,10,11,6,9,12,7,11,7,4,8,8,8,13,6,9,10,3,2,3,1,3,2,1,2,3,1,2,11,12,1,12,4,6,12,11,14,16,- -  -,
28067796,Charlie Ward,M/AM (C),0.47,11,10,10,9,16,12,16,10,10,11,10,8,9,9,11,8,1,10,6,12,11,12,10,9,11,8,10,9,9,7,6,8,13,10,10,12,1,3,2,2,2,1,2,3,3,3,3,11,18,3,11,5,11,12,13,14,13,- -  -,
2000111740,Twariq Yusuf,WB/M/AM (L),0.37,11,10,8,5,11,11,5,3,9,8,8,9,9,9,3,9,3,10,8,7,7,9,10,11,9,9,12,9,5,5,4,6,11,5,7,11,2,2,2,2,2,2,2,4,2,1,3,9,17,4,7,6,8,11,12,12,15,- -  -,
61057162,Luke Leahy,"D (C), WB (L), DM, M (C)",0.06,12,12,12,9,12,12,12,12,8,10,9,10,8,12,18,10,10,12,8,11,12,14,12,14,12,12,12,13,9,13,15,11,13,14,9,12,3,1,2,4,1,3,2,3,3,1,2,14,9,6,5,13,5,10,15,10,9,- -  -,Inj
28109894,George Tanner,"D/WB (RL), M (R)",0.21,13,12,8,9,15,13,14,10,15,11,12,11,9,9,15,11,6,10,11,13,11,15,5,11,12,6,12,6,6,4,5,11,11,3,13,11,2,1,1,2,3,4,1,3,3,3,3,17,12,2,4,9,8,14,12,18,13,- -  -,
29141475,James Tilley,"M/AM (RLC), ST (C)",0.52,12,11,10,7,13,12,9,8,8,7,9,11,9,8,12,15,5,9,7,9,10,10,7,11,13,10,10,8,6,12,4,5,9,8,7,9,1,1,3,4,2,4,4,1,3,1,1,11,10,5,8,11,6,14,9,13,9,- -  -,
2000048044,Victor Akinwale,"AM (R), ST (C)",1.23,16,12,10,11,13,14,11,9,9,9,6,10,8,10,11,9,8,12,6,9,6,10,6,7,10,13,11,7,10,9,6,5,8,12,5,11,3,1,1,3,3,3,3,3,1,3,1,12,10,2,6,8,6,12,12,10,16,- -  -,Wnt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
